,Listing Title,Price,Bedroom,Bath,Area,Condominium Name,City,Link
1272,1 Bedroom Condo for Rent at Red Oak,65000.0,1.0,1.0,56.0,Red Oak,Taguig,['https://www.lamudi.com.ph/1-bedroom-condo-for-rent-at-red-oak.html']
1276,"For Lease: Fully Furnished 1BR Unit in Grand Hamptons Tower 1, BGC Taguig- 49sqm",55000.0,1.0,1.0,49.0,The Grand Hamptons,Taguig,['https://www.lamudi.com.ph/for-lease-fully-furnished-1br-unit-in-grand-hamptons-tower-1-bgc-taguig-49sqm.html']
1277,For Rent:  3BR interior designed Essensa East Forbes,270000.0,3.0,3.0,290.0,Essensa East Forbes,Taguig,['https://www.lamudi.com.ph/for-rent-3br-interior-designed-essensa-east-forbes.html']
1279,"One Bedroom For Rent at Avida Towers 34th Street, Tower 1, BGC, Taguig City.",30000.0,1.0,1.0,36.7,Avida Towers 34th Street,Taguig,['https://www.lamudi.com.ph/one-bedroom-for-rent-at-avida-towers-34th-street-tower-1-bgc-taguig-city.html']
1280,1 Bedroom Unit - Maridien Tower BGC (First Time Leasing),60000.0,1.0,1.0,65.0,One Maridien,Taguig,['https://www.lamudi.com.ph/1-bedroom-unit-maridien-tower-bgc-first-time-leasing.html']
1281,2 Bedroom Condo Unit for Rent at Lakeview Manors Taguig,15000.0,2.0,1.0,48.0,Lakeview Manors,Taguig,['https://www.lamudi.com.ph/2-bedroom-condo-unit-for-rent-at-lakeview-manors-taguig.html']
1282,Acacia Estates - Rosewood Pointe Residences - 2 Bedroom for Rent in Taguig,28000.0,2.0,1.0,61.5,Rosewood Pointe,Taguig,['https://www.lamudi.com.ph/acacia-estates-rosewood-pointe-residences-2-bedroom-for-rent-in-taguig-656891-37.html']
1283,"33 sqm 1 Bedroom Unit for Rent One Uptown Residences, BGC",40000.0,1.0,1.0,33.0,One Uptown Residence,Taguig,['https://www.lamudi.com.ph/33-sqm-1-bedroom-unit-for-rent-one-uptown-residences-bgc.html']
1285,"One Bedroom For Rent at Eight Forbestown Road, Taguig City.",45000.0,1.0,1.0,44.0,8 Forbestown Road,Taguig,['https://www.lamudi.com.ph/one-bedroom-for-rent-at-eight-forbestown-road-taguig-city.html']
1286,For Rent: Three Bedroom 3BR Staff House or Family-use BGC Taguig ,55000.0,3.0,2.0,80.0,McKinley Park Residences,Taguig,['https://www.lamudi.com.ph/for-rent-three-bedroom-3br-staff-house-or-family-use-bgc-taguig.html']
1288,"Studio Condo for Rent in Icon Residences, BGC ,Taguig City",28000.0,1.0,1.0,28.0,Icon Residences,Taguig,['https://www.lamudi.com.ph/studio-condo-for-rent-in-icon-residences-bgc-taguig-city.html']
1289,One bedroom for rent in Forbeswood Parklane,30000.0,1.0,1.0,36.0,Forbeswood Parklane,Taguig,['https://www.lamudi.com.ph/one-bedroom-for-rent-in-forbeswood-parklane-1.html']
1291,Bellagio One Bedroom Loft for Lease in BGC,65000.0,1.0,1.0,80.0,The Bellagio,Taguig,['https://www.lamudi.com.ph/bellagio-one-bedroom-loft-for-lease-in-bgc.html']
1292,Three bedroom for lease with maids room,145000.0,3.0,3.0,120.0,The Grand Hamptons,Taguig,['https://www.lamudi.com.ph/three-bedroom-for-lease-with-maids-room.html']
1293,"1 Bedroom , 38sqm. Corner unit. with Parking Slot",40000.0,1.0,1.0,38.0,The Trion Tower,Taguig,['https://www.lamudi.com.ph/1-bedroom-38sqm-corner-unit-with-parking-slot-1.html']
1296,Grace Residences 1BR Condo Facing Amenities and Fully Furnished!,18000.0,1.0,1.0,22.4,Grace Residences,Taguig,['https://www.lamudi.com.ph/grace-residences-1br-condo-facing-amenities-and-fully-furnished.html']
1297,"For Rent: Studio in Avida Towers One Union Place, Arca South, Taguig",18000.0,1.0,1.0,22.0,Avida Towers One Union Place,Taguig,['https://www.lamudi.com.ph/for-rent-studio-in-avida-towers-one-union-place-arca-south-taguig.html']
1298,"1 Bedroom Fully Furnished Unit for Rent in Avida Towers BGC 9th Avenue, Taguig",21000.0,1.0,1.0,36.58,Avida Towers BGC 9th Avenue,Taguig,['https://www.lamudi.com.ph/1-bedroom-fully-furnished-unit-for-rent-in-avida-towers-bgc-9th-avenue-taguig-1.html']
1299,Good Deal 2 Bedroom For Rent Bgc The Fort,50000.0,2.0,2.0,72.0,The Fort Residences,Taguig,['https://www.lamudi.com.ph/good-deal-2-bedroom-for-rent-bgc-the-fort.html']
1300,For Rent 2 Bedroom at One Mckinley Place BGC,120000.0,2.0,2.0,110.0,One McKinley Place,Taguig,['https://www.lamudi.com.ph/for-rent-2-bedroom-at-one-mckinley-place-bgc.html']
1301,Regent Parkway BGC for Lease! 3 Bedrooms,250000.0,3.0,2.0,300.0,Regent Parkway,Taguig,['https://www.lamudi.com.ph/regent-parkway-bgc-for-lease-3-bedrooms.html']
1303,"For Rent: Fully Furnished 88.95sqm 2 BR, 2 T&B unit at Avida Citiflex, Taguig ",55000.0,2.0,2.0,88.95,Avida CityFlex Towers BGC,Taguig,['https://www.lamudi.com.ph/for-rent-fully-furnished-88-95sqm-2-br-2-t-b-unit-at-avida-citiflex-taguig.html']
1304,"Spacious, FF and WFH ready setup 1-Bedroom Unit in Central BGC for 45k",45000.0,1.0,1.0,44.0,Seibu Tower,Taguig,['https://www.lamudi.com.ph/spacious-ff-and-wfh-ready-setup-1-bedroom-unit-in-central-bgc-for-45k.html']
1306,"3 Bedroom Unit for Rent at Two Serendra, Bonifacio Global City, Taguig",130000.0,3.0,3.0,110.0,Two Serendra,Taguig,['https://www.lamudi.com.ph/3-bedroom-unit-for-rent-at-two-serendra-bonifacio-global-city-taguig.html']
1309,2BR Unit for Rent (Mckinley Garden Villas Mckinley Hills Taguig City),85000.0,2.0,2.0,91.5,McKinley Garden Villas,Taguig,['https://www.lamudi.com.ph/2br-unit-for-rent-mckinley-garden-villas-mckinley-hills-taguig-city.html']
1310,3 bedroom Fully furnished with beautiful view of BGC at Verve Residences ,100000.0,3.0,2.0,128.0,Verve Residences,Taguig,['https://www.lamudi.com.ph/3-bedroom-fully-furnished-with-beautiful-view-of-bgc-at-verve-residences.html']
1311,Mckinley Hill Studio Condo for Rent Stamford Fort Bonifacio Taguig BGC Global,16000.0,1.0,1.0,22.5,Stamford Executive Residences,Taguig,['https://www.lamudi.com.ph/mckinley-hill-studio-condo-for-rent-stamford-fort-bonifacio-taguig-bgc-global.html']
1312,"For Rent: PHP 40,000/month Mckinley Hill Florence, Taguig",40000.0,1.0,1.0,46.0,Mckinley Hill Florence,Taguig,['https://www.lamudi.com.ph/for-rent-php-40-000-month-mckinley-hill-florence-taguig.html']
1313,"For Rent: Fully Furnished, One Bedroom Unit in Two Meridien High Street BGC",65000.0,1.0,1.0,65.0,Two Meridien,Taguig,['https://www.lamudi.com.ph/for-rent-fully-furnished-one-bedroom-unit-in-two-meridien-high-street-bgc.html']
1314,"For Lease: Fully Furnished 1BR Unit in Two Serendra, BGC Taguig - 28th floor",55000.0,1.0,1.0,55.0,Two Serendra,Taguig,['https://www.lamudi.com.ph/for-lease-fully-furnished-1br-unit-in-two-serendra-bgc-taguig-28th-floor.html']
1315,"3-Bedroom Unit at Pacific Plaza Towers for Rent, BGC",290000.0,3.0,3.0,298.0,Pacific Plaza Towers,Taguig,['https://www.lamudi.com.ph/3-bedroom-unit-at-pacific-plaza-towers-for-rent-bgc.html']
1316,Two Serendra 2BR Interior Upgraded and Furnished for Rent,100000.0,2.0,2.0,92.0,Two Serendra,Taguig,['https://www.lamudi.com.ph/two-serendra-2br-interior-upgraded-and-furnished-for-rent.html']
1317,"For Lease: Fully Furnished 2BR Unit in Grand Hyatt, BGC Taguig - 8th floor",140000.0,2.0,2.0,100.0,Grand Hyatt Manila Residences,Taguig,['https://www.lamudi.com.ph/for-lease-fully-furnished-2br-unit-in-grand-hyatt-bgc-taguig-8th-floor.html']
1318,Unfurnished Studio Unit for Rent at Viceroy Residences,17000.0,1.0,1.0,25.0,Viceroy,Taguig,['https://www.lamudi.com.ph/unfurnished-studio-unit-for-rent-at-viceroy-residences.html']
1319,Bellagio 2 Bedroom Golf Course View For Rent Furnished Bonifacio Global City,120000.0,2.0,2.0,85.0,Bellagio Three,Taguig,['https://www.lamudi.com.ph/bellagio-2-bedroom-golf-course-view-for-rent-furnished-bonifacio-global-city.html']
1320,"Super Good deal! Studio Unit for Lease in Stamford Tower 3, Mckinley Hill Taguig",15000.0,1.0,1.0,22.5,Stamford Executive Residences,Taguig,['https://www.lamudi.com.ph/super-good-deal-studio-unit-for-lease-in-stamford-tower-3-mckinley-hill-taguig.html']
1322,Studio unit with park view,25000.0,1.0,1.0,22.0,Avida Towers One Union Place,Taguig,['https://www.lamudi.com.ph/studio-unit-with-park-view-1.html']
1323,"1BR at Sapphire Residences for Rent at Taguig, Metro Manila",55000.0,1.0,1.0,49.0,Sapphire Residences,Taguig,['https://www.lamudi.com.ph/1br-at-sapphire-residences-for-rent-at-taguig-metro-manila.html']
1326,"For Rent: 1 Bedroom at Avida 34th Tower 2 BGC, Taguig",30000.0,1.0,1.0,37.0,Avida Towers 34th Street,Taguig,['https://www.lamudi.com.ph/for-rent-1-bedroom-at-avida-34th-tower-2-bgc-taguig.html']
1328,"For Lease: Big Fully Furnished Studio w Parking at Bellagio 2, BGC Taguig",30000.0,1.0,1.0,42.0,Bellagio Two,Taguig,['https://www.lamudi.com.ph/for-lease-big-fully-furnished-studio-w-parking-at-bellagio-2-bgc-taguig.html']
1329,"For Lease: Semi-furnished 3BR Unit (14th floor) in Fort Residences, BGC Taguig",110000.0,3.0,2.0,109.0,The Fort Residences,Taguig,['https://www.lamudi.com.ph/for-lease-semi-furnished-3br-unit-14th-floor-in-fort-residences-bgc-taguig.html']
1330,"1 Bedroom, Uptown Parksuites BGC For Rent",25000.0,1.0,1.0,32.0,Uptown Parksuites,Taguig,['https://www.lamudi.com.ph/1-bedroom-uptown-parksuites-bgc-for-rent.html']
1331,"3BR for Rent in Serendra Two The Sequoia BGC Condo for Lease, Taguig",120000.0,3.0,3.0,125.0,Two Serendra,Taguig,['https://www.lamudi.com.ph/3br-for-rent-in-serendra-two-the-sequoia-bgc-condo-for-lease-taguig.html']
1332,Fort Palm Springs (BGC) Two Bedroom Unit with Sky Garden for Lease,70000.0,2.0,2.0,89.0,Fort Palm Spring,Taguig,['https://www.lamudi.com.ph/fort-palm-springs-bgc-two-bedroom-unit-with-sky-garden-for-lease.html']
1337,For Lease 3 Bedroom in Pacific Plaza Towers Taguig,200000.0,3.0,3.0,287.0,Pacific Plaza Towers,Taguig,['https://www.lamudi.com.ph/for-lease-3-bedroom-in-pacific-plaza-towers-taguig.html']
1338,"For Rent 2 Bedroom Elegant Interior Design Bonifacio Global City Condo, The Fort",98000.0,2.0,2.0,99.0,The Luxe Residences,Taguig,['https://www.lamudi.com.ph/for-rent-2-bedroom-elegant-interior-design-bonifacio-global-city-condo-the-fort-644344-37.html']
1339,"Only 730.40/sqm - Avida Towers Verte BGC - Unit 1622- 2BR, 61.61sqm",45000.0,2.0,2.0,61.61,Avida Towers Verte,Taguig,['https://www.lamudi.com.ph/only-730-40-sqm-avida-towers-verte-bgc-unit-1622-2br-61-61sqm.html']
1340,For Rent The Suites by Ayala Land Premier BGC Taguig City 2BR Unit,232900.0,2.0,2.0,137.0,The Suites at One Bonifacio High Street,Taguig,['https://www.lamudi.com.ph/for-rent-the-suites-by-ayala-land-premier-bgc-taguig-city-2br-unit.html']
1341,Two Serendra Aston 3 Bedroom for Rent Furnished Bonifacio Global City,130000.0,3.0,2.0,105.0,Two Serendra Aston,Taguig,['https://www.lamudi.com.ph/two-serendra-aston-3-bedroom-for-rent-furnished-bonifacio-global-city.html']
1342,One bedroom with balcony Avida 34th street,38000.0,1.0,1.0,53.0,Avida Towers 34th Street,Taguig,['https://www.lamudi.com.ph/one-bedroom-with-balcony-avida-34th-street.html']
1345,Studio Unit for Rent at Union Arca South,15000.0,1.0,1.0,23.0,Avida Towers One Union Place,Taguig,['https://www.lamudi.com.ph/studio-unit-for-rent-at-union-arca-south.html']
1346,Arbor Lanes - 3 Bedroom with 2 Parking For Rent,80000.0,3.0,3.0,171.0,Arbor Lanes,Taguig,['https://www.lamudi.com.ph/arbor-lanes-3-bedroom-with-2-parking-for-rent.html']
1347,"avida the montane, 1 bedroom for rent",30000.0,1.0,1.0,36.0,The Montane,Taguig,['https://www.lamudi.com.ph/avida-the-montane-1-bedroom-for-rent.html']
1348,Affordable luxurious design 1bedroom for rent,40000.0,1.0,1.0,40.0,Central Park West,Taguig,['https://www.lamudi.com.ph/affordable-luxurious-design-1bedroom-for-rent.html']
1349,"For Lease: Fully Furnished 1BR Unit in Two Serendra, BGC Taguig - 19th floor",65000.0,1.0,1.0,45.0,Two Serendra,Taguig,['https://www.lamudi.com.ph/for-lease-fully-furnished-1br-unit-in-two-serendra-bgc-taguig-19th-floor.html']
1351,Uptown Ritz Residence Two Bedroom Condo for Rent,65000.0,2.0,2.0,93.5,Uptown Ritz Residences,Taguig,['https://www.lamudi.com.ph/uptown-ritz-residence-two-bedroom-condo-for-rent-1.html']
1352,3 Bedroom Unit For Rent - Pacific Plaza Towers BGC Taguig,250000.0,3.0,3.0,299.0,Pacific Plaza Towers,Taguig,['https://www.lamudi.com.ph/3-bedroom-unit-for-rent-pacific-plaza-towers-bgc-taguig.html']
1353,"For Rent 4 Bedroom at Tuscany Private Estate, Mckinley hill",130000.0,4.0,3.0,126.0,Tuscany Private Estates,Taguig,['https://www.lamudi.com.ph/for-rent-4-bedroom-at-tuscany-private-estate-mckinley-hill.html']
1355,"1 Bedroom Condo For Rent In BGC Taguig City, 45sqm, Grand Hamptons Tower 1",35000.0,1.0,1.0,45.0,The Grand Hamptons,Taguig,['https://www.lamudi.com.ph/1-bedroom-condo-for-rent-in-bgc-taguig-city-45sqm-grand-hamptons-tower-1-18.html']
1356,"Two Bedrooms for rent at Two Serendra, Almond Building, BGC, Taguig City",70000.0,2.0,2.0,70.0,Two Serendra,Taguig,['https://www.lamudi.com.ph/two-bedrooms-for-rent-at-two-serendra-almond-building-bgc-taguig-city-1.html']
1357,Corner Big Studio in South of Market Private Residences BGC for Rent,25000.0,1.0,1.0,38.1,South of Market Private Residences,Taguig,['https://www.lamudi.com.ph/corner-big-studio-in-south-of-market-private-residences-bgc-for-rent.html']
1358,"Only 600/sqm-W Tower,BGC -Unit 1006 - 1BR,48.40sqm,owner WGroup,broker welcome",29040.0,1.0,1.0,48.4,W Tower Residences,Taguig,['https://www.lamudi.com.ph/only-600-sqm-w-tower-bgc-unit-1006-1br-48-40sqm-owner-wgroup-broker-welcome.html']
1359,Fort Victoria 2 Bedroom For Rent,45000.0,2.0,1.0,45.0,Fort Victoria,Taguig,['https://www.lamudi.com.ph/fort-victoria-2-bedroom-for-rent.html']
1360,3 Bedroom Pacific Plaza Towers Unit for Rent in Bonifacio Global City Taguig,300000.0,3.0,3.0,301.0,Pacific Plaza Towers,Taguig,['https://www.lamudi.com.ph/3-bedroom-pacific-plaza-towers-unit-for-rent-in-bonifacio-global-city-taguig.html']
1363,"Only 600/sqm W Tower BGC -Unit 807 - 2BR,99.68sqm,owner WGroup",59808.0,2.0,2.0,99.68,W Tower Residences,Taguig,['https://www.lamudi.com.ph/only-600-sqm-w-tower-bgc-unit-807-2br-99-68sqm-owner-wgroup.html']
1364,One Uptown Residence two bedroom condominium for rent,65000.0,2.0,2.0,68.6,One Uptown Residence,Taguig,['https://www.lamudi.com.ph/one-uptown-residence-two-bedroom-condominium-for-rent-2.html']
1365,For Lease/Rent Fort Residences (BGC) 2 Bedroom,55000.0,2.0,2.0,72.0,The Fort Residences,Taguig,['https://www.lamudi.com.ph/for-lease-rent-fort-residences-bgc-2-bedroom.html']
1366,For Rent: Grand Hyatt residences Two Bedroom Unit,150000.0,2.0,2.5,104.0,Grand Hyatt Residences,Taguig,['https://www.lamudi.com.ph/for-rent-grand-hyatt-residences-two-bedroom-unit-1.html']
1367,Mckinlley Hills Condo for rent  ,43000.0,1.0,1.0,47.0,The Florence,Taguig,['https://www.lamudi.com.ph/mckinlley-hills-condo-for-rent.html']
1368,"The Florence Mckinley 2 Bedroom, Fully Furnished Condominium For Rent",70000.0,2.0,2.0,61.0,,Taguig,['https://www.lamudi.com.ph/the-florence-mckinley-2-bedroom-fully-furnished-condominium-for-rent.html']
1370,Brand New BGC 3 Bedroom Unit for rent,60000.0,3.0,2.0,68.0,Avida Towers Turf BGC,Taguig,['https://www.lamudi.com.ph/brand-new-bgc-3-bedroom-unit-for-rent.html']
1371,"Fully Furnished One Bedroom Unit at One Serendra with parking, BGC view",80000.0,1.0,1.0,100.0,One Serendra,Taguig,['https://www.lamudi.com.ph/fully-furnished-one-bedroom-unit-at-one-serendra-with-parking-bgc-view-641006-84.html']
1372,For Rent: Studio Unit at Icon Plaza (BGC),30000.0,1.0,1.0,36.0,Icon Plaza,Taguig,['https://www.lamudi.com.ph/for-rent-studio-unit-at-icon-plaza-bgc.html']
1373,For Rent: Three bedroom unit in Grand Hyatt Residences,165000.0,3.0,2.5,133.0,Grand Hyatt Manila Residences,Taguig,['https://www.lamudi.com.ph/for-rent-three-bedroom-unit-in-grand-hyatt-residences.html']
1374,Fifth Avenue Place for Lease 2BR unit,65000.0,2.0,2.0,85.32,Fifth Avenue Place,Taguig,['https://www.lamudi.com.ph/fifth-avenue-place-for-lease-2br-unit.html']
1375,"FOR RENT: 3BR Loft in Two Serendra Encino Tower, BGC",140000.0,3.0,3.0,114.0,Two Serendra,Taguig,['https://www.lamudi.com.ph/for-rent-3br-loft-in-two-serendra-encino-tower-bgc.html']
1376,"2 Bedroom with Balcony, Two Serendra Sequioa BGC For Rent",95000.0,2.0,2.0,89.0,Two Serendra,Taguig,['https://www.lamudi.com.ph/2-bedroom-with-balcony-two-serendra-sequioa-bgc-for-rent.html']
1377,Full furnished 1 bedroom for rent,26000.0,1.0,1.0,36.0,Avida 34th street,Taguig,['https://www.lamudi.com.ph/full-furnished-1-bedroom-for-rent.html']
1378,Bonifacio Ridge Cypress for Lease 3BR unit,75000.0,3.0,2.0,131.0,Bonifacio Ridge,Taguig,['https://www.lamudi.com.ph/bonifacio-ridge-cypress-for-lease-3br-unit.html']
1379,2 Bedroom Unit in the heart of BGC for rent,70000.0,2.0,2.0,72.0,Icon Plaza,Taguig,['https://www.lamudi.com.ph/2-bedroom-unit-in-the-heart-of-bgc-for-rent.html']
1385,For rent Semi furnished Studio unit w/parking in 1 Union Place Arca South,23000.0,1.0,1.0,23.0,Avida Towers One Union Place,Taguig,['https://www.lamudi.com.ph/for-rent-semi-furnished-studio-unit-w-parking-in-1-union-place-arca-south.html']
1386,Uptown Ritz Residence Two Bedroom Condo for Rent,65000.0,2.0,2.0,93.5,Uptown Ritz Residences,Taguig,['https://www.lamudi.com.ph/uptown-ritz-residence-two-bedroom-condo-for-rent-2.html']
1387,2 Bedroom apartment in Taguig very near BGC,30000.0,2.0,1.0,56.0,Verawood Residences,Taguig,['https://www.lamudi.com.ph/2-bedroom-apartment-in-taguig-very-near-bgc.html']
1389,"For Rent: PHP 140,000/month One Mckinley Place, BGC",140000.0,2.0,2.0,120.0,One McKinley Place,Taguig,['https://www.lamudi.com.ph/for-rent-php-140-000-month-one-mckinley-place-bgc.html']
1392,1 bedroom condo with unforgettable view of Manila Bay and Makati!,24000.0,1.0,1.0,40.0,Avida Towers Prime Taft,Manila,['https://www.lamudi.com.ph/1-bedroom-condo-with-unforgettable-view-of-manila-bay-and-makati.html']
1393,Eton Baypark Studio Unit Roxas Boulevard Manila Bay,19000.0,1.0,1.0,38.0,Eton Baypark Manila,Manila,['https://www.lamudi.com.ph/eton-baypark-studio-unit-roxas-boulevard-manila-bay-1.html']
1396,For Lease Studio in Viceroy Tower 1 Taguig City ,20000.0,1.0,1.0,23.0,Viceroy,Taguig,['https://www.lamudi.com.ph/for-lease-studio-in-viceroy-tower-1-taguig-city.html']
1397,"Amaia Skies Avenida, 1 bedroom for rent",30000.0,1.0,1.0,30.0,Amaia Skies Avenida,Manila,['https://www.lamudi.com.ph/amaia-skies-avenida-1-bedroom-for-rent-3.html']
1398,Fully Furnished 1 Bedroom Unit In Sta. Ana,25000.0,1.0,1.0,24.0,White Knight Sta. Ana,Manila,['https://www.lamudi.com.ph/fully-furnished-1-bedroom-unit-in-sta-ana.html']
1400,1 Bedroom unit for rent at Burgundy Westbay Tower,20000.0,1.0,1.0,46.45,Burgundy Westbay Tower,Manila,['https://www.lamudi.com.ph/1-bedroom-unit-for-rent-at-burgundy-westbay-tower-1.html']
1402,High Floor Furnished Studio Unit with View of Manila Bay,15000.0,1.0,1.0,18.24,Vista Taft Residence,Manila,['https://www.lamudi.com.ph/high-floor-furnished-studio-unit-with-view-of-manila-bay.html']
1403,2 Bedroom Condo Unit at Sorrel Residences,23000.0,2.0,1.0,48.0,Sorrel Condominium,Manila,['https://www.lamudi.com.ph/2-bedroom-condo-unit-at-sorrel-residences-2.html']
1404,"For Rent Studio w/ Balcony Facing Bay Sunset at Rivergreen Residences, Manila",14000.0,1.0,1.0,23.0,Rivergreen Residences,Manila,['https://www.lamudi.com.ph/for-rent-studio-w-balcony-facing-bay-sunset-at-rivergreen-residences-manila.html']
1406,"Robinson Two Adriatico Place, 40 sqm, Studio, furnished for rent",25000.0,1.0,1.0,40.0,Two Adriatico Place,Manila,['https://www.lamudi.com.ph/robinson-two-adriatico-place-40-sqm-studio-furnished-for-rent.html']
1407,For Rent: 1 Bedroom Condo at Vista Taft Residences with Manila Bay view!,22000.0,1.0,1.0,26.0,Vista Taft Residences,Manila,['https://www.lamudi.com.ph/for-rent-1-bedroom-condo-at-vista-taft-residences-with-manila-bay-view.html']
1408,For Rent 2BR Unfurnished Unit in Torre De Manila,30000.0,2.0,1.0,55.0,Torre De Manila,Manila,['https://www.lamudi.com.ph/for-rent-2br-unfurnished-unit-in-torre-de-manila-4.html']
1409,For Rent Studio - The Manila Residences Tower 2,14000.0,1.0,1.0,26.05,The Manila Residences,Manila,['https://www.lamudi.com.ph/for-rent-studio-the-manila-residences-tower-2-1.html']
1410,Studio Unit at Suntrust Parkview For Rent (Semi-furnished),12000.0,1.0,1.0,24.5,Suntrust Parkview,Manila,['https://www.lamudi.com.ph/studio-unit-at-suntrust-parkview-for-rent-semi-furnished.html']
1411,[Rent] 1BR - #716 Dakota Residences,25000.0,1.0,1.0,53.0,Dakota Residences,Manila,['https://www.lamudi.com.ph/rent-1br-716-dakota-residences.html']
1412,Unfurnished Residential Space at 878 Espana Manila,12000.0,1.0,1.0,21.0,878 España,Manila,['https://www.lamudi.com.ph/unfurnished-residential-space-at-878-espana-manila.html']
1413," Studio condo for rent in front of La Salle Taft Lrt1, 9000 pesos, 18 sqm",9000.0,1.0,1.0,18.0,Manila Residences,Manila,['https://www.lamudi.com.ph/studio-condo-for-rent-in-front-of-la-salle-taft-lrt1-9000-pesos-18-sqm.html']
1414,"Cityland Vito Cruz Towers - Fully Furnished 2BR in Taft, Malate good for 6 pax",35000.0,2.0,2.0,72.0,Cityland Vito Cruz Towers,Manila,['https://www.lamudi.com.ph/cityland-vito-cruz-towers-fully-furnished-2br-in-taft-malate-good-for-6-pax.html']
1415,Studio condo in near UP Manila,18000.0,1.0,1.0,32.0,One Adriatico Residences,Manila,['https://www.lamudi.com.ph/studio-condo-in-near-up-manila.html']
1416,Celadon Park Manila Tower 2 near Ubelt For Rent,15000.0,1.0,1.0,37.0,Celadon Park,Manila,['https://www.lamudi.com.ph/celadon-park-manila-tower-2-near-ubelt-for-rent-322235-84.html']
1417,"Corner Unit!!! Very Spacious Corner Condo in Sampaloc, Manila",25000.0,1.0,1.0,45.0,San Luis Mansions,Manila,['https://www.lamudi.com.ph/corner-unit-very-spacious-corner-condo-in-sampaloc-manila.html']
1418,"Interior Decorated Furnished Studio Unit for Rent in D University Place, Manila",22000.0,1.0,1.0,25.57,D’University Place,Manila,['https://www.lamudi.com.ph/interior-decorated-furnished-studio-unit-for-rent-in-d-university-place-manila.html']
1420,"For Rent Marina Square Suites, Malate Facing Manila Bay 1-BR 64sqm Fully furnish",30000.0,1.0,1.0,64.0,Marina Residential Suites,Manila,['https://www.lamudi.com.ph/for-rent-marina-square-suites-malate-facing-manila-bay-1-br-64sqm-fully-furnish.html']
1421,"1 Bedroom Condo for Rent at EGI Taft Tower Condominium, Taft, Manila",25000.0,1.0,1.0,51.81,EGI Taft Tower,Manila,['https://www.lamudi.com.ph/1-bedroom-condo-for-rent-at-egi-taft-tower-condominium-taft-manila.html']
1423,2BR Condo Unit besides SM Manila Suntrust Parkview,18000.0,2.0,1.0,30.0,Suntrust Parkview,Manila,['https://www.lamudi.com.ph/2br-condo-unit-besides-sm-manila-suntrust-parkview.html']
1424,"130 sqm Two Bedroom in Manila for rent at Echelon Tower, Malate, Manila",55000.0,2.0,3.0,130.0,Echelon Tower,Manila,['https://www.lamudi.com.ph/130-sqm-two-bedroom-in-manila-for-rent-at-echelon-tower-malate-manila.html']
1425,1BR with Balcony near De La Salle University Manila,18000.0,1.0,1.0,29.2,The Manila Residences,Manila,['https://www.lamudi.com.ph/1br-with-balcony-near-de-la-salle-university-manila.html']
1427,For Rent Avida san Lazaro studio accross SM san lazaro,12000.0,1.0,1.0,18.0,Avida Towers San Lazaro,Manila,['https://www.lamudi.com.ph/for-rent-avida-san-lazaro-studio-accross-sm-san-lazaro.html']
1428,Manila Residences Bocobo 2BR Condo For Rent with Balcony ,30000.0,2.0,2.0,53.0,Manila Residences Bocobo,Manila,['https://www.lamudi.com.ph/manila-residences-bocobo-2br-condo-for-rent-with-balcony.html']
1429,"Fully-furnished Studio near UST 878 Residences (pandemic discount: P6,300!)",14700.0,1.0,1.0,21.0,878 Espana,Manila,['https://www.lamudi.com.ph/fully-furnished-studio-near-ust-878-residences-pandemic-discount-p6-300.html']
1430,2BR for Lease with Balcony - Robinsons Place Ermita,70000.0,2.0,2.0,85.0,Robinsons Place Ermita,Manila,['https://www.lamudi.com.ph/2br-for-lease-with-balcony-robinsons-place-ermita.html']
1432,W.H. Taft Residence Condominium Unit for rent,25000.0,1.0,1.0,37.0,W.H. Taft Residences,Manila,['https://www.lamudi.com.ph/w-h-taft-residence-condominium-unit-for-rent.html']
1435,The Manila Residences Tower 1 Condo Unit For Rent,30000.0,2.0,2.0,64.0,The Manila Residences,Manila,['https://www.lamudi.com.ph/the-manila-residences-tower-1-condo-unit-for-rent-359888-84.html']
1436,For Rent 2BR Bare Korean Layout Unit in Torre De Manila,28000.0,2.0,1.0,55.0,Torre De Manila,Manila,['https://www.lamudi.com.ph/for-rent-2br-bare-korean-layout-unit-in-torre-de-manila-1.html']
1437,"Fully furnished condo unit, very near to De La Salle University",19000.0,1.0,1.0,24.0,Green Residences,Manila,['https://www.lamudi.com.ph/fully-furnished-condo-unit-very-near-to-de-la-salle-university.html']
1438,Lovely 1Bedroom 1bathroom available ,20000.0,1.0,1.0,35.0,Torre Central,Manila,['https://www.lamudi.com.ph/lovely-1bedroom-1bathroom-available.html']
1439,1 Bedroom with seaside view at Alpha Grandview Condominium,45000.0,1.0,1.0,72.0,Alpha Grandview Condominium,Manila,['https://www.lamudi.com.ph/1-bedroom-with-seaside-view-at-alpha-grandview-condominium.html']
1440,"Condominium, Ermita Manila, near Schools( UP), Transportation, Malls (Robinsons)",20000.0,1.0,1.0,35.0,8 Adriatico,Manila,['https://www.lamudi.com.ph/condominium-ermita-manila-near-schools-up-transportation-malls-robinsons.html']
1441,"3 Bedroom Condo for rent in Four Season Riviera, Binondo",65000.0,3.0,2.0,141.0,Four Season Riviera,Manila,['https://www.lamudi.com.ph/3-bedroom-condo-for-rent-in-four-season-riviera-binondo.html']
